ensembl_gene_id	external_gene_name	start_position	end_position	strand	gene_biotype	exon_chrom_start	exon_chrom_end
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197237406	197237612
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197297552	197298133
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197313411	197313606
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197316470	197316609
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197325961	197327258
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197237408	197237612
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197325961	197326143
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197390130	197391086
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197396584	197397131
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197398579	197398744
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197403836	197404742
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197407677	197407805
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197411296	197411664
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197446794	197447585
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197411296	197411422
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197237543	197237612
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197446794	197447009
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197329479	197329609
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197390130	197390571
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197382959	197383130
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197407677	197413949
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197391941	197391969
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197396584	197396967
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197411300	197411422
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197446678	197447585
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197237370	197237612
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197404730	197404742
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197446794	197447165
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197170592	197170718
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197271570	197271601
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197273501	197273543
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197398104	197398238
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197446794	197447212
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197302331	197302474
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197390130	197390671
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197390880	197391086
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197396584	197396842
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197329444	197329609
ENSG00000134376	CRB1	197170592	197447585	1	protein_coding	197446794	197447267
ENSG00000213046	EEF1A1P32	197657890	197659757	1	pseudogene	197657890	197658206
ENSG00000213046	EEF1A1P32	197657890	197659757	1	pseudogene	197658593	197658842
ENSG00000213046	EEF1A1P32	197657890	197659757	1	pseudogene	197658978	197659757
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197552282	197552350
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197522152	197522242
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197515863	197515903
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197515052	197515120
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197510089	197510145
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197509094	197509201
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197482001	197482083
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197480858	197481074
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197473878	197480102
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197744269	197744437
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197741998	197742062
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197684161	197684204
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197643250	197643299
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197641167	197641286
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197627430	197627499
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197621365	197621445
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197614820	197614873
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197611841	197611951
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197586789	197586889
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197581061	197581106
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197576203	197576304
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197564338	197564463
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197478774	197480102
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197514697	197515120
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197744269	197744322
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197704716	197704926
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197552282	197552383
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197521385	197522242
ENSG00000213047	DENND1B	197473878	197744826	-1	protein_coding	197744269	197744455
