cell	start	end	state
E029	156156094	156161000	5
E029	156161000	156162200	7
E029	156162200	156162600	5
E029	156162600	156163000	7
E029	156163000	156163400	2
E029	156163400	156164200	1
E029	156164200	156164600	2
E029	156164600	156165400	7
E029	156165400	156166600	6
E029	156166600	156170000	4
E029	156170000	156173000	6
E029	156173000	156181800	4
E029	156181800	156182000	5
E029	156182000	156182400	7
E029	156182400	156182600	2
E029	156182600	156183400	1
E029	156183400	156183600	2
E029	156183600	156184400	7
E029	156184400	156185000	6
E029	156185000	156186000	5
E029	156186000	156186800	12
E029	156186800	156189600	7
E029	156189600	156190000	5
E029	156190000	156194000	4
E029	156194000	156195800	5
E029	156195800	156196000	6
E029	156196000	156197200	4
E029	156197200	156198000	5
E029	156198000	156200600	4
E029	156200600	156203200	5
E029	156203200	156206121	4
E030	156156094	156156600	7
E030	156156600	156161000	5
E030	156161000	156163000	7
E030	156163000	156163600	2
E030	156163600	156164200	1
E030	156164200	156165000	2
E030	156165000	156170600	6
E030	156170600	156173000	2
E030	156173000	156174000	7
E030	156174000	156175400	6
E030	156175400	156181800	4
E030	156181800	156182000	6
E030	156182000	156182600	2
E030	156182600	156183200	1
E030	156183200	156184200	2
E030	156184200	156185200	7
E030	156185200	156186000	14
E030	156186000	156186200	12
E030	156186200	156186800	11
E030	156186800	156187200	1
E030	156187200	156188600	2
E030	156188600	156189600	7
E030	156189600	156190200	5
E030	156190200	156193800	4
E030	156193800	156196000	5
E030	156196000	156200600	4
E030	156200600	156203200	5
E030	156203200	156206121	4
E031	156156094	156156600	9
E031	156156600	156161400	15
E031	156161400	156162200	7
E031	156162200	156162600	5
E031	156162600	156163000	7
E031	156163000	156163400	2
E031	156163400	156163800	1
E031	156163800	156164800	2
E031	156164800	156165400	7
E031	156165400	156165600	6
E031	156165600	156170800	4
E031	156170800	156171200	6
E031	156171200	156172400	3
E031	156172400	156173400	6
E031	156173400	156177600	5
E031	156177600	156180400	4
E031	156180400	156182000	5
E031	156182000	156182200	7
E031	156182200	156182600	2
E031	156182600	156183200	1
E031	156183200	156184000	2
E031	156184000	156184400	7
E031	156184400	156186200	14
E031	156186200	156186600	12
E031	156186600	156186800	13
E031	156186800	156187600	14
E031	156187600	156188000	1
E031	156188000	156188200	2
E031	156188200	156188400	7
E031	156188400	156189200	5
E031	156189200	156189400	6
E031	156189400	156190800	5
E031	156190800	156194200	4
E031	156194200	156196000	5
E031	156196000	156196800	4
E031	156196800	156198000	5
E031	156198000	156198400	4
E031	156198400	156199600	5
E031	156199600	156200200	4
E031	156200200	156203600	5
E031	156203600	156206121	4
E032	156156094	156162800	15
E032	156162800	156163000	7
E032	156163000	156163400	2
E032	156163400	156164000	1
E032	156164000	156164600	2
E032	156164600	156165200	7
E032	156165200	156166000	6
E032	156166000	156171000	4
E032	156171000	156171400	6
E032	156171400	156173200	4
E032	156173200	156174000	5
E032	156174000	156181400	4
E032	156181400	156182000	5
E032	156182000	156182400	7
E032	156182400	156182600	2
E032	156182600	156183200	1
E032	156183200	156183600	2
E032	156183600	156184200	7
E032	156184200	156185000	6
E032	156185000	156186000	5
E032	156186000	156186200	12
E032	156186200	156186400	11
E032	156186400	156186800	12
E032	156186800	156187600	14
E032	156187600	156188000	7
E032	156188000	156190200	5
E032	156190200	156194200	4
E032	156194200	156195400	5
E032	156195400	156200400	4
E032	156200400	156203400	5
E032	156203400	156206121	4
E033	156156094	156162800	15
E033	156162800	156163000	1
E033	156163000	156163400	2
E033	156163400	156164000	1
E033	156164000	156164800	2
E033	156164800	156165000	7
E033	156165000	156166200	6
E033	156166200	156167600	4
E033	156167600	156168400	6
E033	156168400	156181600	4
E033	156181600	156182000	5
E033	156182000	156182200	7
E033	156182200	156182600	2
E033	156182600	156183400	1
E033	156183400	156183800	2
E033	156183800	156184200	7
E033	156184200	156184600	6
E033	156184600	156185200	4
E033	156185200	156186000	5
E033	156186000	156186800	8
E033	156186800	156187600	5
E033	156187600	156188200	7
E033	156188200	156190800	5
E033	156190800	156193600	4
E033	156193600	156196000	5
E033	156196000	156196600	4
E033	156196600	156198200	5
E033	156198200	156200600	4
E033	156200600	156201400	5
E033	156201400	156206121	4
E034	156156094	156162800	15
E034	156162800	156163000	7
E034	156163000	156164800	2
E034	156164800	156165000	7
E034	156165000	156171200	6
E034	156171200	156181400	4
E034	156181400	156182000	5
E034	156182000	156182200	6
E034	156182200	156182600	2
E034	156182600	156183200	1
E034	156183200	156183800	2
E034	156183800	156185000	7
E034	156185000	156186000	5
E034	156186000	156186200	12
E034	156186200	156186400	11
E034	156186400	156186800	12
E034	156186800	156188600	7
E034	156188600	156190200	5
E034	156190200	156191800	6
E034	156191800	156192800	4
E034	156192800	156193200	6
E034	156193200	156194200	4
E034	156194200	156194800	5
E034	156194800	156196000	7
E034	156196000	156196600	6
E034	156196600	156198000	5
E034	156198000	156206121	4
E035	156156094	156158800	15
E035	156158800	156159400	9
E035	156159400	156162800	15
E035	156162800	156163000	7
E035	156163000	156163400	2
E035	156163400	156164000	1
E035	156164000	156164800	2
E035	156164800	156165000	7
E035	156165000	156166400	5
E035	156166400	156167000	4
E035	156167000	156169400	5
E035	156169400	156171000	4
E035	156171000	156171400	6
E035	156171400	156171800	3
E035	156171800	156172200	6
E035	156172200	156172800	3
E035	156172800	156175200	5
E035	156175200	156182000	4
E035	156182000	156182200	6
E035	156182200	156183800	2
E035	156183800	156184400	7
E035	156184400	156186000	5
E035	156186000	156186200	8
E035	156186200	156186600	11
E035	156186600	156186800	8
E035	156186800	156187600	5
E035	156187600	156187800	2
E035	156187800	156188000	7
E035	156188000	156188200	2
E035	156188200	156189600	7
E035	156189600	156193000	5
E035	156193000	156194200	4
E035	156194200	156196200	5
E035	156196200	156196600	4
E035	156196600	156198400	5
E035	156198400	156198800	4
E035	156198800	156203600	5
E035	156203600	156204400	4
E035	156204400	156205800	5
E035	156205800	156206121	4
E036	156156094	156158400	15
E036	156158400	156159400	9
E036	156159400	156161400	15
E036	156161400	156162800	7
E036	156162800	156163600	2
E036	156163600	156164000	1
E036	156164000	156164800	2
E036	156164800	156165200	5
E036	156165200	156171000	4
E036	156171000	156171400	6
E036	156171400	156182000	4
E036	156182000	156182200	6
E036	156182200	156182600	2
E036	156182600	156183800	1
E036	156183800	156184200	2
E036	156184200	156184400	3
E036	156184400	156184600	6
E036	156184600	156185200	4
E036	156185200	156186000	5
E036	156186000	156186800	8
E036	156186800	156187200	5
E036	156187200	156187600	7
E036	156187600	156188200	2
E036	156188200	156189400	7
E036	156189400	156190400	5
E036	156190400	156191800	4
E036	156191800	156192600	6
E036	156192600	156194200	4
E036	156194200	156195400	5
E036	156195400	156196200	7
E036	156196200	156196800	6
E036	156196800	156198000	5
E036	156198000	156200600	4
E036	156200600	156201600	5
E036	156201600	156202600	6
E036	156202600	156206121	4
E037	156156094	156162800	15
E037	156162800	156163000	7
E037	156163000	156163400	2
E037	156163400	156164200	1
E037	156164200	156164600	2
E037	156164600	156166000	7
E037	156166000	156166400	5
E037	156166400	156166600	7
E037	156166600	156168600	5
E037	156168600	156170000	7
E037	156170000	156171000	5
E037	156171000	156171800	7
E037	156171800	156172200	5
E037	156172200	156172400	4
E037	156172400	156172600	6
E037	156172600	156173200	4
E037	156173200	156182000	5
E037	156182000	156182400	7
E037	156182400	156182600	2
E037	156182600	156183800	1
E037	156183800	156184000	7
E037	156184000	156184200	2
E037	156184200	156185000	7
E037	156185000	156186200	14
E037	156186200	156186800	11
E037	156186800	156187200	14
E037	156187200	156187600	7
E037	156187600	156188000	2
E037	156188000	156188600	7
E037	156188600	156206121	5
E038	156156094	156163000	15
E038	156163000	156164200	1
E038	156164200	156164800	2
E038	156164800	156165800	7
E038	156165800	156166200	6
E038	156166200	156167000	7
E038	156167000	156168400	5
E038	156168400	156169400	7
E038	156169400	156170000	5
E038	156170000	156170400	4
E038	156170400	156171800	6
E038	156171800	156172200	5
E038	156172200	156172400	6
E038	156172400	156173200	4
E038	156173200	156182000	5
E038	156182000	156182200	7
E038	156182200	156182600	2
E038	156182600	156183400	1
E038	156183400	156183600	2
E038	156183600	156184000	7
E038	156184000	156184200	2
E038	156184200	156184600	7
E038	156184600	156186200	5
E038	156186200	156186800	8
E038	156186800	156187600	5
E038	156187600	156188400	7
E038	156188400	156190200	5
E038	156190200	156193800	4
E038	156193800	156204000	5
E038	156204000	156206121	4
E039	156156094	156163000	15
E039	156163000	156164000	1
E039	156164000	156164600	2
E039	156164600	156165400	7
E039	156165400	156166400	5
E039	156166400	156166800	7
E039	156166800	156167800	5
E039	156167800	156168000	6
E039	156168000	156168200	5
E039	156168200	156168400	6
E039	156168400	156169000	7
E039	156169000	156170400	6
E039	156170400	156171400	5
E039	156171400	156172400	6
E039	156172400	156174400	5
E039	156174400	156175200	4
E039	156175200	156176400	5
E039	156176400	156181400	4
E039	156181400	156182000	5
E039	156182000	156182200	7
E039	156182200	156182600	2
