pos	gwasP	logP	ld	r2
156156094	9.979e-08	7.00091297737411	1	0.621899
156156219	5.178e-08	7.28583795390115	1	0.634756
156156789	1.019e-11	10.9918258159936	1	0.907278
156156951	2.542e-12	11.594824453782	1	0.907278
156157490	NA	0	1	0.796891
156158367	3.059e-11	10.5144205230153	1	0.861546
156159064	8.12e-08	7.09044397075882	1	0.634756
156159217	2.409e-11	10.6181632000017	1	0.861546
156159532	5.39e-11	10.2684112348133	1	0.861546
156159909	9.911e-08	7.00388252386271	1	0.630201
156160358	3.281e-11	10.483993769614	1	0.861546
156160696	1.899e-11	10.721475035263	1	0.861546
156160822	9.167e-08	7.03777276864991	1	0.634756
156160892	2.552e-11	10.5931193299509	1	0.861546
156161682	9.025e-08	7.0445527894223	1	0.634756
156162559	2.678e-11	10.572189427324	1	0.861546
156162633	NA	0	1	0.634756
156163906	8.467e-08	7.07227044022835	1	0.634756
156164885	3.547e-10	9.45013881152806	1	0.792805
156165290	1.394e-11	10.855737226238	1	0.847553
156165317	1.394e-11	10.855737226238	1	0.854431
156165342	9.245e-12	11.0340930845048	1	0.854431
156165881	8.134e-08	7.08969583193143	1	0.634756
156168736	3.823e-11	10.417595701981	1	0.872025
156169610	3.225e-12	11.4914702810287	1	0.907278
156171296	4.554e-11	10.3416069737209	1	0.861546
156172125	8.48e-12	11.0716041477433	1	0.907278
156173082	4.951e-08	7.30530707366852	1	0.634756
156173685	1.404e-11	10.8526328922062	1	0.857954
156174475	2.473e-11	10.6067758836387	1	0.861546
156174930	5.83e-08	7.23433144524099	1	0.630201
156177285	4.872e-08	7.31229272037518	1	0.701722
156181007	1.021e-11	10.9909742579131	1	0.907278
156181770	1.776e-11	10.7505570385574	1	0.907278
156182710	1.407e-11	10.8517059025653	1	0.907278
156184268	3.492e-11	10.4569257649665	1	0.844413
156184458	4.004e-12	11.3975059311927	1	0.907278
156184598	9.945e-11	10.0023952125395	1	0.848441
156184747	9.329e-12	11.0301649069242	1	0.907278
156184831	2.78e-11	10.5559552040819	1	0.844413
156186604	2.045e-10	9.68930668765664	1	0.903442
156186615	1.81e-10	9.74232142513082	1	0.907278
156186634	1.808e-10	9.74280157386066	1	0.858341
156186880	1.515e-05	4.81958736716168	1	0.899785
156186979	2.461e-07	6.6088883862972	1	0.858341
156188214	1.352e-11	10.8690233083944	1	0.907278
156189626	4.845e-11	10.3147062186132	1	0.792805
156189793	1.878e-11	10.7263044120699	1	0.907278
156190083	1.279e-11	10.8931294555213	1	0.921807
156190280	2.911e-08	7.53595779456119	1	0.699335
156191149	2.258e-11	10.6462760624111	1	0.858341
156192028	2.589e-08	7.58686794956513	1	0.699335
156192351	6.587e-08	7.18131233655849	1	0.647856
156194339	1.978e-11	10.7037737127388	1	0.848441
156194363	1.003e-10	9.99869906697958	1	0.792805
156195099	NA	0	1	0.680044
156195205	2.504e-11	10.6013656754616	1	0.852082
156195682	2.549e-08	7.59363016453073	1	0.696968
156195888	1.88e-11	10.7258421507363	1	0.865681
156195971	6.075e-11	10.2164537177296	1	0.855787
156196016	2.865e-11	10.5428753736966	1	0.865681
156196407	9.332e-09	8.03002526987829	1	0.704127
156197295	NA	0	1	0.872009
156197380	1.718e-11	10.7649768405048	1	0.905022
156197614	1.346e-11	10.870954940112	1	0.915376
156198994	1.548e-11	10.8102290436531	1	0.915376
156200445	3.089e-11	10.5101820916985	1	0.919439
156200671	1.284e-11	10.8914349762672	1	0.930027
156202173	2.253e-12	11.6472388082762	2	1
156202640	1.611e-11	10.7929044595808	1	0.919574
156202759	1.559e-11	10.8071538848112	1	0.919574
156202809	5.933e-12	11.2267256516625	1	0.958787
156202860	2.185e-11	10.6605485586936	1	0.919574
156202868	2.257e-11	10.6464684409222	1	0.919574
156204047	2.218e-11	10.6540384581869	1	0.919439
156204653	5.862e-12	11.2319541858976	1	0.969813
156205301	2.005e-10	9.6978856230438	1	0.922006
156205383	2.73e-10	9.56383735295924	1	0.915376
156206121	4.246e-07	6.37202001017002	1	0.63458
