ensembl_gene_id	external_gene_name	start_position	end_position	strand	exon_chrom_start	exon_chrom_end
ENSG00000160783	PMF1	156182784	156212874	1	156182784	156182967
ENSG00000160783	PMF1	156182784	156212874	1	156202111	156202216
ENSG00000160783	PMF1	156182784	156212874	1	156203419	156203519
ENSG00000160783	PMF1	156182784	156212874	1	156206140	156206274
ENSG00000160783	PMF1	156182784	156212874	1	156209339	156209831
ENSG00000160783	PMF1	156182784	156212874	1	156182796	156182967
ENSG00000160783	PMF1	156182784	156212874	1	156190468	156190678
ENSG00000160783	PMF1	156182784	156212874	1	156193137	156193351
ENSG00000160783	PMF1	156182784	156212874	1	156193642	156193733
ENSG00000160783	PMF1	156182784	156212874	1	156195348	156195459
ENSG00000160783	PMF1	156182784	156212874	1	156203419	156203443
ENSG00000160783	PMF1	156182784	156212874	1	156182797	156182967
ENSG00000160783	PMF1	156182784	156212874	1	156206079	156206274
ENSG00000160783	PMF1	156182784	156212874	1	156209339	156209642
ENSG00000160783	PMF1	156182784	156212874	1	156182798	156182967
ENSG00000160783	PMF1	156182784	156212874	1	156206079	156207082
ENSG00000160783	PMF1	156182784	156212874	1	156209339	156209833
ENSG00000160783	PMF1	156182784	156212874	1	156182817	156182967
ENSG00000160783	PMF1	156182784	156212874	1	156209339	156209509
ENSG00000160783	PMF1	156182784	156212874	1	156212344	156212382
ENSG00000160783	PMF1	156182784	156212874	1	156212553	156212622
ENSG00000160783	PMF1	156182784	156212874	1	156212824	156212874
ENSG00000160785	SLC25A44	156163880	156182587	1	156163880	156164038
ENSG00000160785	SLC25A44	156163880	156182587	1	156169626	156170263
ENSG00000160785	SLC25A44	156163880	156182587	1	156177677	156177804
ENSG00000160785	SLC25A44	156163880	156182587	1	156180031	156182587
ENSG00000160785	SLC25A44	156163880	156182587	1	156165996	156170263
ENSG00000160785	SLC25A44	156163880	156182587	1	156180031	156182586
ENSG00000160785	SLC25A44	156163880	156182587	1	156169409	156169512
ENSG00000160785	SLC25A44	156163880	156182587	1	156169626	156169977
ENSG00000160785	SLC25A44	156163880	156182587	1	156170181	156170263
ENSG00000160785	SLC25A44	156163880	156182587	1	156180031	156180218
ENSG00000160785	SLC25A44	156163880	156182587	1	156163907	156164038
ENSG00000160785	SLC25A44	156163880	156182587	1	156169626	156170019
ENSG00000160785	SLC25A44	156163880	156182587	1	156170089	156170263
