gene	tissue	exp
ENSG00000123384	Adipose_Subcutaneous	5.6724253419715
ENSG00000120451	Adipose_Subcutaneous	3.62688812306315
ENSG00000117335	Adipose_Subcutaneous	5.33026853185023
ENSG00000163634	Adipose_Subcutaneous	4.67905574801918
ENSG00000132563	Adipose_Subcutaneous	1.30120363575691
ENSG00000124212	Adipose_Subcutaneous	4.39177327213885
ENSG00000182600	Adipose_Subcutaneous	0.180523921307111
ENSG00000183454	Adipose_Subcutaneous	0.0540770213278151
ENSG00000132911	Adipose_Subcutaneous	0
ENSG00000120903	Adipose_Subcutaneous	0.00613157385721505
ENSG00000161896	Adipose_Subcutaneous	0.459741534055671
ENSG00000144619	Adipose_Subcutaneous	0.850008868634777
ENSG00000151067	Adipose_Subcutaneous	1.35104013721231
ENSG00000019102	Adipose_Subcutaneous	1.40313389233206
ENSG00000138821	Adipose_Subcutaneous	2.24107937248598
ENSG00000133687	Adipose_Subcutaneous	3.61064896254735
ENSG00000256053	Adipose_Subcutaneous	2.42071418497534
ENSG00000101442	Adipose_Subcutaneous	2.82253760220536
ENSG00000137841	Adipose_Subcutaneous	2.54326109343491
ENSG00000188641	Adipose_Subcutaneous	3.27786938603258
ENSG00000239713	Adipose_Subcutaneous	1.93172835904371
ENSG00000123384	Adipose_Visceral_Omentum	5.6724253419715
ENSG00000120451	Adipose_Visceral_Omentum	3.62205617750762
ENSG00000117335	Adipose_Visceral_Omentum	5.05404350445619
ENSG00000163634	Adipose_Visceral_Omentum	4.42840375230004
ENSG00000132563	Adipose_Visceral_Omentum	0.977803267318322
ENSG00000124212	Adipose_Visceral_Omentum	4.54407181770357
ENSG00000182600	Adipose_Visceral_Omentum	0.173339151849574
ENSG00000183454	Adipose_Visceral_Omentum	0.133628188122565
ENSG00000132911	Adipose_Visceral_Omentum	0
ENSG00000120903	Adipose_Visceral_Omentum	0
ENSG00000161896	Adipose_Visceral_Omentum	0.532136632949814
ENSG00000144619	Adipose_Visceral_Omentum	1.17925847410819
ENSG00000151067	Adipose_Visceral_Omentum	1.31048069293703
ENSG00000019102	Adipose_Visceral_Omentum	2.1445473918047
ENSG00000138821	Adipose_Visceral_Omentum	3.31527244713133
ENSG00000133687	Adipose_Visceral_Omentum	3.7260871623016
ENSG00000256053	Adipose_Visceral_Omentum	2.36854216268686
ENSG00000101442	Adipose_Visceral_Omentum	2.52693270368056
ENSG00000137841	Adipose_Visceral_Omentum	2.66687692597079
ENSG00000188641	Adipose_Visceral_Omentum	3.39352309050506
ENSG00000239713	Adipose_Visceral_Omentum	1.98566911631407
ENSG00000123384	Adrenal_Gland	4.14625774979956
ENSG00000120451	Adrenal_Gland	3.82670849047021
ENSG00000117335	Adrenal_Gland	5.6724253419715
ENSG00000163634	Adrenal_Gland	4.59563685975409
ENSG00000132563	Adrenal_Gland	1.11266984757903
ENSG00000124212	Adrenal_Gland	1.75487588373316
